franchise,season,avg_score,n_episodes
Fred and Rose West,1,-0.098,3
Free Rein,1,0.042,10
Free Rein,2,-0.039,10
Free Rein,3,0.03,10
FUBAR,1,0,8
FUBAR,2,-0.055,8
Gabby's Dollhouse,1,0.027,10
Gabby's Dollhouse,2,0.031,8
Gabby's Dollhouse,3,0.108,7
Gabby's Dollhouse,4,0.084,8
Gabby's Dollhouse,5,0.058,6
Gabby's Dollhouse,6,0.144,6
Gabby's Dollhouse,7,0.027,6
Gabby's Dollhouse,8,0.041,7
Gabby's Dollhouse,9,0.051,6
Gabby's Dollhouse,10,0.068,6
Gabby's Dollhouse,11,0.114,6
Gilmore Girls,1,0.012,21
Gilmore Girls,2,0.009,22
Gilmore Girls,3,0.016,22
Gilmore Girls,4,0.071,22
Gilmore Girls,5,0.073,22
Gilmore Girls,6,0.063,22
Gilmore Girls,7,0.023,22
Ginny & Georgia,1,0.134,10
Ginny & Georgia,2,0.008,10
Ginny & Georgia,3,-0.115,10
Go! Go! Cory Carson,1,0.112,7
Go! Go! Cory Carson,2,0.09,7
Go! Go! Cory Carson,3,0.045,7
Go! Go! Cory Carson,4,0.138,7
Go! Go! Cory Carson,5,0.108,17
Go! Go! Cory Carson,6,0.1,18
Gone Girls,1,-0.415,3
Grizzy and the Lemmings,1,0.009,78
Grizzy and the Lemmings,2,0.008,78
Grizzy and the Lemmings,3,-0.003,78
Grizzy and the Lemmings,4,-0.017,78
Halo,1,-0.033,9
Halo,2,-0.126,8
High Tides,1,-0.015,10
Hot Wheels Let's Race,1,-0.023,10
Hot Wheels Let's Race,2,0.036,5
Hot Wheels Let's Race,3,0.068,5
House, M.D.,1,-0.039,22
House, M.D.,2,-0.115,24
House, M.D.,3,-0.023,24
House, M.D.,4,-0.074,16
House, M.D.,5,-0.048,24
House, M.D.,6,-0.026,21
House, M.D.,7,-0.046,23
House, M.D.,8,-0.058,22
How I Met Your Mother,1,0.121,22
How I Met Your Mother,2,0.007,22
How I Met Your Mother,3,0.041,20
How I Met Your Mother,4,0.012,24
How I Met Your Mother,5,0.02,24
How I Met Your Mother,6,0.017,24
How I Met Your Mother,7,0.052,24
How I Met Your Mother,8,0.043,24
How I Met Your Mother,9,0.039,24
How to Sell Drugs Online (Fast),1,0.053,6
How to Sell Drugs Online (Fast),2,0.014,6
How to Sell Drugs Online (Fast),3,0.022,6
How to Sell Drugs Online (Fast),4,0.088,6
Hunter X Hunter (2011),1,-0.116,62
Hunter X Hunter (2011),2,-0.108,74
Hunter X Hunter (2011),3,-0.049,12
I AM A KILLER,1,-0.397,10
I AM A KILLER,2,-0.467,10
I AM A KILLER,3,-0.347,6
I AM A KILLER,4,-0.303,6
I AM A KILLER,5,-0.292,6
I AM A KILLER,6,-0.319,6
Jerry Springer,1,0.014,20
Jerry Springer,2,0.012,6
Jerry Springer,3,-0.006,5
Jerry Springer,5,0.066,8
Jerry Springer,6,0.036,10
Jerry Springer,7,0.056,29
Jerry Springer,11,0.041,15
Jerry Springer,12,0.071,2
Jerry Springer,20,0.072,98
Jerry Springer,22,0,1
Jurassic World,1,0.029,10
Jurassic World,2,0.026,10
Jurassic World,3,0.035,10
Jurassic World Camp Cretaceous,1,-0.086,8
Jurassic World Camp Cretaceous,2,0.088,8
Jurassic World Camp Cretaceous,3,-0.005,10
Jurassic World Camp Cretaceous,4,0.004,11
Jurassic World Camp Cretaceous,5,0.123,12
Just One Look,1,-0.074,6
La Palma,1,0.167,4
LEGO Ninjago,1,0.019,13
LEGO Ninjago,2,-0.02,13
LEGO Ninjago,3,0.02,8
LEGO Ninjago,4,0.077,10
LEGO Ninjago,5,-0.064,10
LEGO Ninjago,6,0.044,10
LEGO Ninjago,7,0.047,10
LEGO Ninjago,8,-0.086,10
LEGO Ninjago,9,-0.029,10
LEGO Ninjago,10,0.033,4
LEGO Ninjago,11,-0.005,30
LEGO Ninjago,12,-0.043,16
LEGO Ninjago,13,0.016,16
LEGO Ninjago,14,0.004,4
LEGO Ninjago,15,-0.011,16
LEGO Ninjago,16,0.004,30
Lost (2004),1,-0.057,24
Lost (2004),2,-0.01,24
Lost (2004),3,-0.012,23
Lost (2004),4,-0.044,13
Lost (2004),5,0,17
Lost (2004),6,-0.026,17
Love Is Blind,1,0.023,14
Love Is Blind,2,0.102,14
Love Is Blind,3,0.093,15
Love Is Blind,4,0.088,16
Love Is Blind,5,0.083,11
Love Is Blind,6,0.062,13
